"","County","Province_State","FIPS","Country_Region","Lat","Long_","Combined_Key","Last_Update.x","Confirmed.x","Deaths.x","Recovered.x","Active.x","Incidence_Rate.x","Case.Fatality_Ratio.x","Last_Update.y","Confirmed.y","Deaths.y","Recovered.y","Active.y","Incidence_Rate.y","Case.Fatality_Ratio.y","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","GDP 2018","Population_Count_2019","Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","Median_Age"
"42","Berrien","Michigan",26021,"US",41.95447397,-86.4131308,"Berrien, Michigan, US","2020-06-16 04:33:09",824,57,0,767,537.154255839271,6.91747572815534,"2020-07-20 05:34:40",1114,61,0,1053,726.201263355519,5.47576301615799,0.039,0.037,0.122,0.247,0.555,6877563,153790,10.4,28.9,33,27.7,42.1
"43","Bexar","Texas",48029,"US",29.44928723,-98.52019748,"Bexar, Texas, US","2020-06-16 04:33:09",4393,88,0,4305,219.260374314843,2.00318688823128,"2020-07-20 05:34:40",30835,257,0,30578,1539.01517004283,0.833468461164261,0.015,0.016,0.057,0.09,0.822,97527759,1981187,16.2,25.2,31,27.6,34.1
"44","Bibb","Georgia",13021,"US",32.80904227,-83.70489165,"Bibb, Georgia, US","2020-06-16 04:33:09",542,36,0,506,353.880607734446,6.64206642066421,"2020-07-20 05:34:40",2201,44,0,2157,1437.06866720206,1.99909132212631,0.043,0.094,0.176,0.201,0.487,7980755,152903,14.3,31.6,28.5,25.7,36.5
"45","Blair","Pennsylvania",42013,"US",40.47961444,-78.34917412,"Blair, Pennsylvania, US","2020-06-16 04:33:09",55,1,0,54,45.1452445641021,1.81818181818182,"2020-07-20 05:34:40",135,1,0,134,110.81105483916,0.740740740740741,0.041,0.132,0.083,0.249,0.495,5354290,122503,9.1,45.4,24.7,20.8,43.1
"46","Blount","Tennessee",47009,"US",35.68938198,-83.92847788,"Blount, Tennessee, US","2020-06-16 04:33:09",106,3,0,103,79.6465496513585,2.83018867924528,"2020-07-20 05:34:40",518,6,0,512,389.216157730224,1.15830115830116,0.069,0.089,0.097,0.183,0.562,4809024,131331,10.9,34.8,30.3,24,44.2
"47","Bonneville","Idaho",16019,"US",43.38713372,-111.6161537,"Bonneville, Idaho, US","2020-06-16 04:33:09",79,0,0,79,66.3519846802506,0,"2020-07-20 05:34:40",330,1,0,329,277.166518284591,0.303030303030303,0.096,0.202,0.188,0.247,0.268,4905301,116444,8.3,26.1,35.5,30.1,33.3
"48","Boone","Indiana",18011,"US",40.0509304,-86.46841646,"Boone, Indiana, US","2020-06-16 04:33:09",386,38,0,348,568.960688648792,9.84455958549223,"2020-07-20 05:34:40",530,45,0,485,781.215453326062,8.49056603773585,0.052,0.085,0.142,0.308,0.413,4528949,66930,6.4,21.3,23.9,48.3,38.4
"49","Boone","Kentucky",21015,"US",38.97065142,-84.72615357,"Boone, Kentucky, US","2020-06-16 04:33:09",541,21,0,520,404.997716741153,3.88170055452865,"2020-07-20 05:34:40",837,23,0,814,626.586116288993,2.7479091995221,0.08,0.087,0.081,0.232,0.52,8145159,131901,7.2,27.9,33.3,31.6,37.6
"50","Boone","Missouri",29019,"US",38.99186229,-92.30723575,"Boone, Missouri, US","2020-06-16 04:33:09",215,2,0,213,119.137995046076,0.930232558139535,"2020-07-20 05:34:40",742,2,0,740,411.164615461341,0.269541778975741,0.073,0.075,0.113,0.224,0.515,8140223,179061,5.8,21.2,27,46,31.7
"51","Boulder","Colorado",8013,"US",40.09313619,-105.3546767,"Boulder, Colorado, US","2020-06-16 04:33:09",1088,70,0,1018,333.541796956431,6.43382352941176,"2020-07-20 05:34:40",1642,74,0,1568,503.37833695079,4.50669914738124,0.008,0.015,0.032,0.195,0.75,25319458,324636,4.9,12.3,22,60.8,37
"52","Bowie","Texas",48037,"US",33.44626922,-94.41834132,"Bowie, Texas, US","2020-06-16 04:33:09",372,7,0,365,398.949005308596,1.88172043010753,"2020-07-20 05:34:40",610,17,0,593,654.190573221084,2.78688524590164,0.058,0.134,0.114,0.221,0.473,3701177,93688,11.8,34.8,33.5,19.9,38.3
"53","Bradley","Tennessee",47011,"US",35.15739424,-84.857186,"Bradley, Tennessee, US","2020-06-16 04:33:09",288,2,0,286,266.395338081584,0.694444444444444,"2020-07-20 05:34:40",1205,7,0,1198,1114.60549440385,0.580912863070539,0.121,0.098,0.126,0.282,0.373,4412936,107050,15.7,32.3,30.1,21.9,39.4
"54","Brazoria","Texas",48039,"US",29.18757369,-95.44563172,"Brazoria, Texas, US","2020-06-16 04:33:09",864,13,0,851,230.853087660047,1.50462962962963,"2020-07-20 05:34:40",4675,32,0,4643,1249.11826945685,0.684491978609626,0.021,0.042,0.075,0.17,0.691,15588622,368887,12.3,25.3,32.7,29.7,36.6
"55","Brazos","Texas",48041,"US",30.6636448,-96.30205577,"Brazos, Texas, US","2020-06-16 04:33:09",803,25,0,778,350.332226638338,3.11332503113325,"2020-07-20 05:34:40",3373,39,0,3334,1471.56986357548,1.15624073525052,0.012,0.038,0.067,0.347,0.537,9525806,225781,13.3,19.6,26.2,40.8,26.9
"56","Brevard","Florida",12009,"US",28.29409504,-80.73091022,"Brevard, Florida, US","2020-06-16 04:33:09",565,15,0,550,93.8628638639603,2.65486725663717,"2020-07-20 05:34:40",4222,50,0,4172,701.396480059541,1.18427285646613,0.068,0.073,0.096,0.157,0.607,23437467,595203,8,28.6,34.1,29.3,47.2
"57","Bristol","Massachusetts",25005,"US",41.79228404,-71.10872211,"Bristol, Massachusetts, US","2020-06-16 04:33:09",7925,518,0,7407,1402.11635531132,6.53627760252366,"2020-07-20 05:34:40",8681,609,0,8072,1535.87029406405,7.01532081557424,0.016,0.02,0.056,0.161,0.747,23895996,564092,15.1,29.9,27,28,41
"58","Broomfield","Colorado",8014,"US",39.95998787,-105.0566324,"Broomfield, Colorado, US","2020-06-16 04:33:09",265,28,0,237,376.07322784361,10.5660377358491,"2020-07-20 05:34:40",359,30,0,329,509.472787908891,8.35654596100279,0.018,0.005,0.042,0.201,0.734,8050690,69324,3.2,14.7,26.7,55.5,38.9
"59","Broward","Florida",12011,"US",26.15184651,-80.48725556,"Broward, Florida, US","2020-06-16 04:33:09",9086,358,0,8728,465.285864547839,3.94012766894123,"2020-07-20 05:34:40",39281,493,0,38788,2011.54457905609,1.25505969807286,0.026,0.023,0.043,0.117,0.791,96874849,1946107,11.2,27.4,29.5,31.9,40.9
"60","Brown","Wisconsin",55009,"US",44.4526553,-88.00411844,"Brown, Wisconsin, US","2020-06-16 04:33:09",2469,38,0,2431,933.311156640533,1.53908464965573,"2020-07-20 05:34:40",3507,46,0,3461,1325.68741447483,1.3116623895067,0.069,0.053,0.184,0.208,0.486,16864677,263165,8,30.2,32.1,29.6,37.9
"61","Buchanan","Missouri",29021,"US",39.65816401,-94.80138942,"Buchanan, Missouri, US","2020-06-16 04:33:09",787,2,0,785,900.828716633854,0.254129606099111,"2020-07-20 05:34:40",974,6,0,968,1114.87569250492,0.616016427104723,0.121,0.183,0.175,0.219,0.302,4291237,88163,11.8,37,30.5,20.7,39.5
"62","Bucks","Pennsylvania",42017,"US",40.33682119,-75.10836643,"Bucks, Pennsylvania, US","2020-06-16 04:33:09",5439,542,0,4897,865.710602129658,9.96506710792425,"2020-07-20 05:34:40",6353,573,0,5780,1011.18945676222,9.01936093184322,0.014,0.018,0.032,0.131,0.805,30571290,627812,6.1,28.8,24.6,40.5,44
"63","Bullitt","Kentucky",21029,"US",37.97162523,-85.68955617,"Bullitt, Kentucky, US","2020-06-16 04:33:09",135,4,0,131,165.287232479553,2.96296296296296,"2020-07-20 05:34:40",197,4,0,193,241.196924433126,2.03045685279188,0.037,0.091,0.156,0.181,0.535,2225729,81009,12,41.6,32.2,14.2,41.3
"64","Bulloch","Georgia",13031,"US",32.39577406,-81.74811421,"Bulloch, Georgia, US","2020-06-16 04:33:09",108,3,0,105,135.664757310823,2.77777777777778,"2020-07-20 05:34:40",791,7,0,784,993.61873178575,0.884955752212389,0.053,0.049,0.163,0.31,0.424,2141698,77242,13.1,27.3,32.2,27.4,28
"65","Butler","Kansas",20015,"US",37.78134351,-96.83878537,"Butler, Kansas, US","2020-06-16 04:33:09",37,0,0,37,55.2973352662492,0,"2020-07-20 05:34:40",115,0,0,115,171.870096097802,0,0.053,0.133,0.122,0.222,0.47,2283399,66833,7.5,26.5,37,29,38.4
"66","Butler","Ohio",39017,"US",39.44012838,-84.57388716,"Butler, Ohio, US","2020-06-16 04:33:09",1103,34,0,1069,287.888832627749,3.08250226654578,"2020-07-20 05:34:40",2114,51,0,2063,551.765178762522,2.41248817407758,0.047,0.072,0.106,0.244,0.531,18352682,382000,9.7,32.8,27.8,29.8,37.1
"67","Butler","Pennsylvania",42019,"US",40.91152759,-79.91351055,"Butler, Pennsylvania, US","2020-06-16 04:33:09",257,12,0,245,136.80910073302,4.66926070038911,"2020-07-20 05:34:40",479,13,0,466,254.986611872049,2.71398747390397,0.035,0.062,0.062,0.194,0.647,10060376,187638,5.4,33.2,26,35.4,43.8
"68","Butte","California",6007,"US",39.66727762,-121.6005252,"Butte, California, US","2020-06-16 04:33:09",82,1,0,81,37.4111485222596,1.21951219512195,"2020-07-20 05:34:40",522,4,0,518,238.153896690482,0.766283524904215,0.015,0.043,0.111,0.204,0.626,9219915,230339,10.7,22.7,40,26.5,36.9
"69","Calhoun","Alabama",1015,"US",33.77483727,-85.82630386,"Calhoun, Alabama, US","2020-06-16 04:33:09",196,3,0,193,172.527617622464,1.53061224489796,"2020-07-20 05:34:40",768,6,0,762,676.026583337001,0.78125,0.152,0.108,0.13,0.167,0.442,3950436,114331,15.9,32.4,33.7,18,39.6
"70","Calhoun","Michigan",26025,"US",42.24633834,-85.00493569,"Calhoun, Michigan, US","2020-06-16 04:33:09",487,27,0,460,363.002109437309,5.5441478439425,"2020-07-20 05:34:40",652,39,0,613,485.990503805186,5.98159509202454,0.063,0.121,0.078,0.178,0.559,5766360,134049,8.9,36.4,33.5,21.2,39.6
"71","Calvert","Maryland",24009,"US",38.53961642,-76.56820632,"Calvert, Maryland, US","2020-06-16 04:33:09",376,21,0,355,406.376654958119,5.58510638297872,"2020-07-20 05:34:40",490,27,0,463,529.586598216698,5.51020408163265,0.049,0.049,0.071,0.11,0.72,4127614,92065,6.1,30.3,32.4,31.1,40.1
"72","Cambria","Pennsylvania",42021,"US",40.49527404,-78.71377428,"Cambria, Pennsylvania, US","2020-06-16 04:33:09",61,3,0,58,46.8538773503748,4.91803278688525,"2020-07-20 05:34:40",167,3,0,164,128.272090451026,1.79640718562874,0.026,0.062,0.153,0.228,0.53,4550684,131449,8.7,44.9,25,21.4,46.3
"73","Cameron","Texas",48061,"US",26.14524221,-97.48140372,"Cameron, Texas, US","2020-06-16 04:33:09",1138,44,0,1094,268.927103740166,3.86643233743409,"2020-07-20 05:34:40",5891,96,0,5795,1392.13494563561,1.62960448141232,0.035,0.061,0.034,0.056,0.813,10011608,422139,32.8,26,24,17.3,31.9
"74","Campbell","Kentucky",21037,"US",38.94384345,-84.37875208,"Campbell, Kentucky, US","2020-06-16 04:33:09",207,12,0,195,221.191656693452,5.79710144927536,"2020-07-20 05:34:40",391,13,0,378,417.806462643187,3.32480818414322,0.073,0.085,0.134,0.278,0.43,2894065,93464,9.2,29.9,27.3,33.5,38.3
"75","Canadian","Oklahoma",40017,"US",35.5426055,-97.98465569,"Canadian, Oklahoma, US","2020-06-16 04:33:09",156,3,0,153,105.187922268823,1.92307692307692,"2020-07-20 05:34:40",667,4,0,663,449.745795854517,0.599700149925038,0.043,0.073,0.103,0.309,0.472,4179430,144426,7.7,29.5,36,26.8,35.8
"76","Canyon","Idaho",16027,"US",43.61970148,-116.7095499,"Canyon, Idaho, US","2020-06-16 04:33:09",356,6,0,350,154.884293601451,1.68539325842697,"2020-07-20 05:34:40",3163,19,0,3144,1376.12084455447,0.600695542206766,0.113,0.095,0.17,0.24,0.381,5367721,223236,15.4,32,34.3,18.3,33.9
