TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN AGE OF THE TOTAL POPULATION,,,,
R0101,040C1US08,Colorado -- In metropolitan statistical area -- in principal city,1,34.9,+/-0.2
R0101,040C1US09,Connecticut -- In metropolitan statistical area -- in principal city,1,36.8,+/-0.6
R0101,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,1,35.6,+/-2.3
R0101,040C1US11,District of Columbia -- In metropolitan statistical area -- in principal city,1,34.3,+/-0.2
R0101,040C1US12,Florida -- In metropolitan statistical area -- in principal city,1,40.1,+/-0.4
R0101,040C1US13,Georgia -- In metropolitan statistical area -- in principal city,1,34.0,+/-0.4
R0101,040C1US15,Hawaii -- In metropolitan statistical area -- in principal city,1,40.9,+/-1.2
R0101,040C1US16,Idaho -- In metropolitan statistical area -- in principal city,1,35.9,+/-0.8
R0101,040C1US17,Illinois -- In metropolitan statistical area -- in principal city,1,35.7,+/-0.3
R0101,040C1US18,Indiana -- In metropolitan statistical area -- in principal city,1,34.0,+/-0.3
R0101,040C1US19,Iowa -- In metropolitan statistical area -- in principal city,1,35.0,+/-0.5
R0101,040C1US20,Kansas -- In metropolitan statistical area -- in principal city,1,34.9,+/-0.6
R0101,040C1US21,Kentucky -- In metropolitan statistical area -- in principal city,1,36.3,+/-0.4
R0101,040C1US22,Louisiana -- In metropolitan statistical area -- in principal city,1,36.7,+/-0.6
R0101,040C1US23,Maine -- In metropolitan statistical area -- in principal city,1,37.7,+/-1.8
R0101,040C1US24,Maryland -- In metropolitan statistical area -- in principal city,1,36.6,+/-0.4
R0101,040C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,1,33.6,+/-0.3
R0101,040C1US26,Michigan -- In metropolitan statistical area -- in principal city,1,34.7,+/-0.4
R0101,040C1US27,Minnesota -- In metropolitan statistical area -- in principal city,1,34.5,+/-0.4
R0101,040C1US28,Mississippi -- In metropolitan statistical area -- in principal city,1,34.0,+/-1.0
R0101,040C1US29,Missouri -- In metropolitan statistical area -- in principal city,1,35.2,+/-0.5
R0101,040C1US30,Montana -- In metropolitan statistical area -- in principal city,1,36.9,+/-0.9
R0101,040C1US31,Nebraska -- In metropolitan statistical area -- in principal city,1,34.3,+/-0.3
R0101,040C1US32,Nevada -- In metropolitan statistical area -- in principal city,1,38.2,+/-0.4
R0101,040C1US33,New Hampshire -- In metropolitan statistical area -- in principal city,1,39.1,+/-1.4
R0101,040C1US34,New Jersey -- In metropolitan statistical area -- in principal city,1,33.0,+/-0.5
R0101,040C1US35,New Mexico -- In metropolitan statistical area -- in principal city,1,36.9,+/-0.6
R0101,040C1US36,New York -- In metropolitan statistical area -- in principal city,1,36.7,+/-0.1
R0101,040C1US37,North Carolina -- In metropolitan statistical area -- in principal city,1,34.4,+/-0.3
R0101,040C1US38,North Dakota -- In metropolitan statistical area -- in principal city,1,33.4,+/-0.5
R0101,040C1US39,Ohio -- In metropolitan statistical area -- in principal city,1,34.5,+/-0.3
R0101,040C1US40,Oklahoma -- In metropolitan statistical area -- in principal city,1,34.6,+/-0.4
R0101,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,1,36.9,+/-0.4
R0101,040C1US42,Pennsylvania -- In metropolitan statistical area -- in principal city,1,34.1,+/-0.3
R0101,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,1,35.7,+/-1.2
