,2015,2016,2017,2018
Marion,"8,259,823","8,846,178","8,922,757","9,237,866"
Martin,"6,608,423","6,603,563","6,723,319","6,946,903"
Miami-Dade,"131,624,991","136,396,875","141,349,544","145,882,828"
Monroe,"4,014,404","4,094,692","4,186,956","4,255,911"
Nassau,"2,017,786","2,035,963","2,134,955","2,213,296"
Okaloosa,"9,612,196","9,792,508","10,183,734","10,515,093"
Okeechobee,"1,202,583","1,154,890","1,274,588","1,151,613"
Orange,"77,882,979","81,146,561","84,359,305","87,741,273"
Osceola,"7,709,041","7,896,106","8,143,986","8,374,889"
Palm Beach,"65,902,060","67,751,333","70,558,459","72,270,528"
Pasco,"10,230,816","10,582,469","10,903,869","11,238,393"
Pinellas,"43,023,746","44,233,572","45,158,454","46,894,199"
Polk,"20,462,688","20,928,287","21,816,610","22,483,500"
Putnam,"1,978,369","1,972,144","1,987,327","2,009,787"
St. Johns,"6,265,006","6,634,305","7,027,715","7,357,931"
St. Lucie,"7,553,019","7,824,890","8,119,970","8,311,311"
Santa Rosa,"3,492,523","3,652,174","3,684,821","3,836,306"
Sarasota,"15,905,329","16,423,322","17,014,502","17,814,560"
Seminole,"17,035,220","17,812,364","18,819,518","19,779,928"
Sumter,"2,169,972","2,280,124","2,397,299","2,484,841"
Suwannee,"1,144,054","1,039,424","1,060,121","1,090,123"
Taylor,"897,393","841,275","859,687","856,461"
Union,"295,420","301,177","306,038","299,208"
Volusia,"14,882,560","15,475,305","15,985,757","16,446,375"
Wakulla,"581,765","566,868","594,611","606,163"
Walton,"2,214,261","2,317,833","2,436,144","2,511,146"
Washington,"462,189","470,907","476,861","491,690"
,,,,
Georgia,"481,575,663","498,266,779","516,593,859","528,998,898"
Appling,"1,351,221","1,406,512","1,427,534","1,417,429"
Atkinson,"211,521","213,898","224,844","236,695"
Bacon,"332,628","351,341","361,434","357,666"
Baker,"82,734","94,739","81,967","87,742"
Baldwin,"1,221,127","1,221,974","1,226,412","1,237,235"
Banks,"374,857","376,263","423,761","432,928"
Barrow,"1,690,337","1,720,364","1,794,017","1,884,951"
Bartow,"4,109,404","4,384,889","4,377,573","4,495,356"
Ben Hill,"476,982","480,766","479,336","481,148"
Berrien,"325,527","327,001","340,702","354,815"
Bibb,"7,746,567","7,651,253","7,746,876","7,980,755"
Bleckley,"224,077","222,459","226,437","232,430"
Brantley,"217,794","228,431","232,714","240,294"
Brooks,"288,213","286,397","276,881","286,906"
Bryan,"694,751","724,375","765,385","807,644"
Bulloch,"2,028,980","2,060,434","2,118,761","2,141,698"
Burke,"1,977,820","2,230,208","2,417,457","2,489,579"
Butts,"496,924","511,615","546,854","560,604"
Calhoun,"120,213","123,044","134,787","124,665"
Camden,"1,709,746","1,760,908","1,832,731","1,865,713"
Candler,"225,735","226,591","235,359","243,238"
Carroll,"3,675,530","3,773,815","3,861,112","3,994,013"
Catoosa,"1,276,749","1,269,812","1,331,936","1,366,360"
Charlton,"191,523","191,167","197,844","193,017"
Chatham,"15,362,116","15,778,121","16,331,323","16,849,129"
Chattahoochee,"1,779,499","1,555,436","1,427,986","1,422,770"
Chattooga,"525,767","520,846","537,245","549,226"
Cherokee,"5,486,467","5,750,505","5,991,316","6,203,380"
Clarke,"6,390,311","6,539,802","6,747,725","6,890,589"
Clay,"71,309","70,805","69,287","79,221"
Clayton,"15,199,921","16,464,790","17,009,516","16,751,712"
Clinch,"229,143","243,641","242,214","246,674"
Cobb,"40,155,979","42,103,647","44,249,462","45,417,267"
Coffee,"1,250,480","1,292,181","1,338,377","1,389,874"
Colquitt,"1,178,178","1,206,080","1,271,275","1,302,673"
Columbia,"2,994,458","3,064,812","3,173,887","3,294,683"
Cook,"316,271","320,322","341,989","366,696"
Coweta,"3,337,077","3,418,967","3,484,208","3,705,520"
Crawford,"168,760","177,696","174,374","165,034"
