,2015,2016,2017,2018
Henry,"721,712","653,315","651,087","685,543"
Hickory,"119,023","120,489","120,906","127,499"
Holt,"170,740","224,703","198,576","172,856"
Howard,"222,177","213,261","215,071","226,353"
Howell,"1,135,611","1,063,995","1,076,105","1,121,522"
Iron,"403,518","384,492","390,388","424,616"
Jackson,"40,491,120","40,473,928","40,916,261","42,122,646"
Jasper,"5,192,766","5,240,207","5,327,988","5,292,144"
Jefferson,"4,624,132","4,544,186","4,659,262","4,756,553"
Johnson,"1,540,954","1,551,219","1,557,633","1,569,223"
Knox,"121,376","140,029","110,786","118,291"
Laclede,"964,543","945,363","1,003,521","1,038,697"
Lafayette,"739,446","750,463","782,447","746,666"
Lawrence,"834,108","760,141","782,540","821,750"
Lewis,"235,199","238,487","216,405","227,307"
Lincoln,"975,250","1,032,803","1,039,732","1,031,761"
Linn,"371,314","366,828","367,932","402,930"
Livingston,"512,689","588,447","569,660","570,965"
McDonald,"576,944","517,636","533,146","556,802"
Macon,"513,401","522,606","507,967","530,496"
Madison,"275,235","266,196","266,363","266,746"
Maries,"144,880","131,333","134,670","139,712"
Marion,"1,027,093","1,047,562","1,018,208","1,053,998"
Mercer,"163,270","137,560","159,196","109,836"
Miller,"934,045","916,961","876,577","888,047"
Mississippi,"315,642","378,406","425,127","367,791"
Moniteau,"438,433","370,868","407,806","425,073"
Monroe,"221,396","289,466","228,059","271,330"
Montgomery,"360,634","346,984","367,230","315,741"
Morgan,"506,167","469,703","455,483","453,177"
New Madrid,"1,164,788","1,121,748","1,073,642","1,116,867"
Newton,"1,851,696","1,733,178","1,699,140","1,720,273"
Nodaway,"729,017","677,649","694,059","730,282"
Oregon,"220,433","207,266","193,723","207,913"
Osage,"438,171","398,270","385,016","401,744"
Ozark,"138,815","139,512","139,479","148,828"
Pemiscot,"470,760","439,050","401,067","423,612"
Perry,"848,190","897,144","839,132","864,963"
Pettis,"1,512,883","1,519,841","1,514,428","1,539,823"
Phelps,"1,445,476","1,461,038","1,464,826","1,495,213"
Pike,"483,516","534,978","513,480","481,033"
Platte,"5,494,159","5,725,980","5,888,034","5,965,298"
Polk,"681,166","653,746","663,190","691,552"
Pulaski,"2,073,252","2,011,626","2,034,497","2,022,292"
Putnam,"158,259","138,197","130,913","126,767"
Ralls,"347,577","416,899","394,641","365,560"
Randolph,"1,116,604","1,163,422","1,148,961","1,155,633"
Ray,"426,439","409,003","414,913","413,204"
Reynolds,"203,504","200,763","208,190","222,126"
Ripley,"203,513","196,772","197,247","204,642"
St. Charles,"13,458,935","13,898,372","14,155,370","14,793,630"
St. Clair,"154,211","153,364","149,896","150,092"
Ste. Genevieve,"583,144","567,514","583,129","619,144"
St. Francois,"1,971,961","1,995,731","1,908,134","2,037,226"
St. Louis,"68,843,658","68,373,290","69,780,743","71,640,132"
Saline,"991,086","1,020,255","1,003,411","943,201"
Schuyler,"75,590","73,514","71,128","72,701"
Scotland,"147,537","152,321","139,429","129,648"
Scott,"1,339,001","1,312,292","1,359,554","1,401,953"
Shannon,"118,366","118,584","119,359","120,956"
Shelby,"189,057","190,515","163,147","171,298"
Stoddard,"1,103,531","1,099,907","1,045,795","1,115,134"
Stone,"579,147","568,143","573,630","580,730"
Sullivan,"316,462","281,883","306,666","257,647"
Taney,"2,085,010","2,037,254","2,071,937","2,133,363"
Texas,"443,474","423,906","421,193","429,362"
Vernon,"931,553","915,484","943,482","882,387"
Warren,"926,929","963,510","925,412","958,900"
Washington,"356,789","344,941","343,531","353,922"
Wayne,"215,476","217,971","217,781","216,719"
Webster,"618,822","604,945","614,511","665,452"
Worth,"80,605","84,036","80,784","70,455"
Wright,"364,691","357,398","359,819","369,051"
St. Louis City,"28,906,326","27,687,564","27,479,264","28,460,911"
,,,,
Montana,"44,871,442","44,265,422","45,029,245","46,219,700"
Beaverhead,"492,039","492,895","459,211","394,127"
Big Horn,"892,234","783,886","903,544","962,622"
Blaine,"205,467","181,000","164,944","197,201"
Broadwater,"117,253","116,221","121,979","117,975"
Carbon,"234,222","232,444","257,895","251,273"
Carter,"128,860","129,726","101,083","79,564"
Cascade,"3,646,286","3,548,307","3,644,181","3,782,722"
Chouteau,"141,837","128,170","130,473","209,992"
Custer,"521,345","477,042","472,769","450,836"
Daniels,"92,807","105,290","115,689","86,163"
Dawson,"416,305","383,869","409,521","416,817"
Deer Lodge,"250,015","250,307","253,121","257,985"
Fallon,"273,824","238,463","236,144","213,696"
Fergus,"462,286","411,035","414,492","418,322"
Flathead,"3,468,012","3,556,754","3,654,009","3,726,973"
Gallatin,"4,437,299","4,812,991","4,922,067","5,178,452"
Garfield,"103,073","81,656","62,067","55,437"
Glacier,"416,094","418,265","367,090","430,957"
Golden Valley,"32,759","27,526","29,535","26,293"
Granite,"90,837","85,767","86,702","87,528"
Hill,"700,541","725,228","693,056","740,055"
Jefferson,"281,513","267,514","254,650","256,987"
Judith Basin,"186,738","182,284","161,151","172,725"
Lake,"688,217","731,659","695,636","710,824"
Lewis and Clark,"3,015,879","3,011,893","3,044,480","3,083,311"
Liberty,"122,016","112,849","129,530","174,082"
Lincoln,"460,973","467,850","484,824","491,930"
McCone,"105,194","93,878","96,358","99,139"
Madison,"365,472","363,629","341,436","382,680"
Meagher,"102,446","91,251","75,214","79,932"
Mineral,"84,416","80,140","83,926","86,029"
Missoula,"4,529,703","4,616,447","4,844,547","5,004,429"
Musselshell,"291,074","266,374","279,761","296,292"
Park,"479,314","471,381","497,042","512,732"
Petroleum,"50,504","32,989","24,231","22,506"
Phillips,"169,772","132,504","135,907","132,090"
Pondera,"164,470","198,689","196,010","172,592"
Powder River,"128,475","119,605","96,761","99,244"
Powell,"201,916","181,332","190,476","190,670"
Prairie,"43,379","34,471","33,134","36,443"
Ravalli,"891,419","905,592","945,452","972,076"
Richland,"1,170,610","1,015,160","946,740","985,176"
Roosevelt,"408,871","437,138","412,112","429,720"
Rosebud,"835,851","832,151","848,997","781,232"
Sanders,"289,670","289,688","301,982","296,745"
Sheridan,"276,193","288,104","285,901","234,348"
Silver Bow,"1,345,729","1,336,930","1,367,335","1,378,646"
Stillwater,"608,565","539,169","592,867","621,154"
Sweet Grass,"229,216","220,727","248,899","244,249"
Teton,"252,806","265,674","211,217","252,910"
Toole,"284,825","294,793","266,288","285,082"
Treasure,"130,328","112,805","93,634","101,938"
Valley,"300,720","297,133","293,109","290,784"
Wheatland,"104,663","99,894","77,251","97,636"
Wibaux,"58,401","48,628","71,090","76,035"
Yellowstone,"9,072,491","8,508,210","8,707,161","8,875,311"
,,,,
Nebraska,"110,325,737","110,812,032","113,110,421","114,169,981"
Adams,"1,598,569","1,602,055","1,714,119","1,697,971"
Antelope,"406,389","477,005","398,641","397,969"
Arthur,"30,152","20,816","18,114","29,322"
Banner,"73,856","88,082","41,614","68,444"
Blaine,"60,083","55,222","41,500","23,606"
Boone,"473,938","483,654","476,813","451,375"
Box Butte,"561,815","562,449","584,892","576,177"
Boyd,"114,316","111,663","127,372","166,144"
Brown,"246,107","275,298","220,839","232,081"
Buffalo,"2,382,086","2,417,932","2,560,804","2,588,065"
Burt,"368,574","372,113","415,813","401,761"
Butler,"355,510","277,823","268,579","283,009"
Cass,"715,961","745,086","837,287","888,860"
Cedar,"541,796","567,325","555,665","551,518"
Chase,"250,621","264,767","250,409","238,371"
Cherry,"438,933","439,218","372,995","318,031"
Cheyenne,"681,303","696,396","676,239","572,030"
Clay,"259,723","247,177","291,137","279,423"
Colfax,"586,485","603,023","568,457","675,670"
Cuming,"1,087,326","1,193,021","972,675","881,546"
Custer,"823,716","907,201","714,730","632,937"
Dakota,"1,191,919","1,207,866","1,328,078","1,320,460"
Dawes,"321,568","321,374","298,750","292,301"
Dawson,"1,334,782","1,413,226","1,360,110","1,411,429"
Deuel,"67,890","70,171","89,710","76,752"
Dixon,"278,857","257,784","281,591","287,658"
Dodge,"1,782,769","1,793,309","1,895,362","1,886,102"
Douglas,"39,642,957","39,116,440","40,808,279","41,051,019"
Dundy,"134,879","129,705","127,935","127,078"
Fillmore,"358,645","319,501","338,053","334,352"
Franklin,"82,239","75,817","89,589","74,235"
Frontier,"148,368","136,472","137,211","146,318"
Furnas,"275,766","265,767","237,969","260,230"
Gage,"971,938","955,295","1,038,713","1,059,874"
Garden,"68,321","69,790","66,687","62,411"
Garfield,"144,924","147,111","110,094","111,807"
Gosper,"93,601","94,224","89,295","106,431"
Grant,"57,764","46,837","31,715","36,280"
Greeley,"126,143","102,995","88,594","90,759"
Hall,"3,139,136","3,088,975","3,196,209","3,274,814"
Hamilton,"513,844","519,794","521,786","516,602"
Harlan,"163,915","156,456","115,404","197,579"
Hayes,"89,391","73,123","43,700","41,260"
Hitchcock,"114,014","108,079","140,343","141,801"
Holt,"653,985","597,779","639,897","684,504"
Hooker,"75,097","75,226","58,222","53,424"
Howard,"230,863","219,305","196,176","179,026"
Jefferson,"865,723","922,772","884,009","929,207"
Johnson,"215,403","214,940","261,751","242,336"
Kearney,"490,509","435,338","396,763","394,360"
Keith,"361,516","374,487","335,842","360,919"
Keya Paha,"83,913","89,754","80,797","75,076"
Kimball,"156,527","157,171","168,897","178,149"
Knox,"436,687","395,837","383,186","465,611"
Lancaster,"15,483,640","15,705,577","16,326,207","16,557,682"
Lincoln,"2,230,077","2,391,693","2,146,065","2,184,894"
Logan,"60,383","54,894","37,798","35,375"
Loup,"65,587","73,254","54,108","36,407"
McPherson,"52,178","49,835","46,444","34,887"
Madison,"2,237,030","2,231,519","2,327,461","2,342,025"
Merrick,"414,485","397,477","395,731","370,977"
Morrill,"648,144","549,997","541,164","532,896"
Nance,"155,195","134,004","144,621","143,491"
Nemaha,"644,616","779,030","814,223","702,909"
Nuckolls,"278,855","260,188","247,791","279,862"
Otoe,"1,135,992","1,383,317","1,391,166","1,406,119"
Pawnee,"137,748","140,542","153,031","180,684"
Perkins,"199,872","210,047","208,765","234,680"
Phelps,"945,786","1,048,731","945,737","895,982"
Pierce,"340,410","306,407","289,167","350,960"
Platte,"2,328,316","2,364,499","2,455,969","2,560,802"
Polk,"289,229","259,101","289,352","297,542"
Red Willow,"518,555","504,664","496,919","521,965"
Richardson,"307,177","315,087","334,147","321,024"
Rock,"127,719","128,921","130,155","75,430"
Saline,"784,766","804,835","816,062","874,940"
Sarpy,"6,568,133","6,673,011","6,809,589","6,860,214"
Saunders,"664,257","679,983","700,616","709,898"
Scotts Bluff,"1,511,358","1,538,525","1,467,883","1,499,979"
Seward,"676,818","651,577","701,790","683,617"
Sheridan,"231,565","230,599","216,377","238,816"
Sherman,"110,398","96,229","86,874","128,385"
Sioux,"122,818","141,509","88,808","67,340"
Stanton,"327,404","336,697","352,852","359,343"
Thayer,"389,113","356,002","361,089","458,204"
Thomas,"77,865","71,486","60,583","54,706"
Thurston,"484,273","490,493","573,107","533,816"
Valley,"232,203","254,709","213,004","220,328"
Washington,"1,260,512","1,311,075","1,105,701","1,084,508"
Wayne,"436,448","436,045","475,429","469,606"
Webster,"239,911","234,240","228,947","266,992"
Wheeler,"193,189","233,610","177,811","200,951"
York,"765,658","737,222","785,440","778,417"
,,,,
Nevada,"135,429,189","139,295,513","143,733,369","149,779,867"
Churchill,"922,253","951,966","961,710","1,038,391"
Clark,"96,610,558","99,198,167","101,392,420","107,622,947"
Douglas,"2,179,846","2,170,340","2,213,182","2,354,292"
Elko,"2,414,125","2,485,334","2,621,223","2,647,073"
Esmeralda,"84,367","95,092","94,987","88,757"
Eureka,"1,236,657","1,489,421","1,764,131","1,602,010"
Humboldt,"1,162,938","1,183,387","1,245,291","1,203,099"
Lander,"723,949","837,997","971,485","905,873"
Lincoln,"160,677","168,014","172,513","182,133"
Lyon,"1,245,655","1,318,058","1,361,220","1,428,585"
Mineral,"189,307","209,668","217,498","228,422"
Nye,"1,433,332","1,484,407","1,569,375","1,609,430"
Pershing,"329,466","334,099","387,638","363,785"
Storey,"793,291","728,269","1,156,934","1,485,373"
Washoe,"22,157,039","22,884,873","23,687,744","22,976,437"
White Pine,"591,141","629,704","724,637","705,080"
Carson City,"2,995,127","2,993,317","3,156,084","3,240,155"
,,,,
New Hampshire,"71,511,135","72,815,608","74,118,843","75,833,174"
Belknap,"2,529,942","2,559,534","2,595,286","2,673,442"
Carroll,"1,962,369","1,962,213","1,988,941","2,029,530"
Cheshire,"3,335,054","3,334,470","3,355,740","3,376,138"
Coos,"1,142,239","1,156,841","1,138,637","1,146,857"
Grafton,"5,727,106","5,748,182","5,835,561","5,996,422"
Hillsborough,"23,854,124","24,416,112","24,782,415","25,514,840"
Merrimack,"8,493,092","8,521,382","8,617,333","8,883,678"
Rockingham,"17,607,009","18,196,013","18,630,704","18,938,880"
Strafford,"5,378,308","5,429,720","5,669,014","5,764,984"
Sullivan,"1,485,561","1,497,579","1,513,465","1,518,317"
,,,,
New Jersey,"535,299,201","539,942,759","543,530,089","555,755,102"
Atlantic,"12,705,660","12,471,409","12,424,734","12,863,458"
Bergen,"64,989,040","64,865,064","64,494,856","66,148,892"
Burlington,"24,340,302","24,365,768","24,747,071","25,242,828"
Camden,"22,558,680","22,921,961","23,199,521","23,773,431"
Cape May,"4,803,794","4,800,458","4,757,727","4,852,632"
Cumberland,"6,012,536","6,126,043","5,954,454","6,051,881"
Essex,"50,829,629","51,344,851","51,601,199","52,311,173"
Gloucester,"14,304,875","13,985,808","14,162,898","14,353,051"
Hudson,"41,946,981","42,034,951","43,796,480","44,690,400"
Hunterdon,"6,603,611","6,541,100","6,838,373","6,811,313"
Mercer,"27,806,922","28,160,390","27,815,178","28,459,499"
Middlesex,"55,223,378","56,463,802","56,688,188","58,319,626"
Monmouth,"30,500,735","30,842,363","31,018,115","31,954,708"
Morris,"50,235,247","51,655,588","51,699,014","52,564,871"
Ocean,"18,428,288","18,517,079","18,535,721","18,862,944"
Passaic,"21,494,475","21,318,572","20,861,160","21,166,615"
Salem,"5,093,409","4,675,502","4,905,133","5,000,437"
Somerset,"33,079,642","34,599,973","36,051,564","37,343,694"
Sussex,"4,373,376","4,404,366","4,371,424","4,478,411"
Union,"35,781,217","35,677,223","35,531,624","36,426,964"
Warren,"4,275,997","4,268,309","4,165,110","4,183,193"
,,,,
New Mexico,"91,200,832","91,268,262","91,343,606","93,604,628"
Bernalillo,"32,750,420","33,592,951","33,219,394","33,852,532"
Catron,"76,972","74,135","74,651","75,309"
Chaves,"2,048,359","2,072,346","2,041,275","2,003,504"
Cibola,"647,182","642,636","623,455","614,425"
Colfax,"455,729","450,583","431,526","411,440"
Curry,"2,938,820","2,987,664","3,041,013","3,024,286"
De Baca,"50,732","53,641","50,587","50,467"
Doña Ana,"6,597,222","6,788,949","6,712,348","6,757,266"
Eddy,"7,224,246","7,048,553","7,333,885","8,235,321"
Grant,"1,224,645","1,176,183","1,208,780","1,170,854"
Guadalupe,"131,684","136,767","123,628","124,670"
Harding,"150,860","146,672","133,781","110,695"
Hidalgo,"194,725","188,857","185,673","193,173"
Lea,"6,677,616","6,023,175","6,626,799","7,791,593"
Lincoln,"581,182","579,079","571,364","590,517"
Los Alamos,"1,994,809","2,082,560","2,113,033","2,128,143"
Luna,"762,490","769,141","742,469","754,364"
McKinley,"2,523,990","2,381,551","2,377,395","2,422,005"
Mora,"131,137","105,835","74,015","76,640"
Otero,"2,424,955","2,459,480","2,471,232","2,526,350"
Quay,"271,051","260,487","261,362","264,816"
Rio Arriba,"1,428,674","1,415,510","1,406,660","1,343,500"
Roosevelt,"565,725","638,336","667,034","643,474"
Sandoval,"2,989,408","2,984,347","2,937,060","2,991,564"
San Juan,"6,655,678","6,228,398","6,189,598","5,812,050"
San Miguel,"607,695","603,167","588,496","588,905"
Santa Fe,"5,835,174","5,810,487","5,748,226","5,825,345"
Sierra,"296,633","305,584","306,440","283,461"
Socorro,"488,248","480,380","463,697","476,932"
Taos,"867,450","872,461","871,736","875,296"
Torrance,"332,732","306,881","309,239","332,211"
Union,"231,584","237,922","234,055","214,166"
Valencia,"1,115,840","1,132,206","1,198,220","1,261,642"
,,,,
New York,"1,372,162,790","1,389,680,638","1,418,942,002","1,435,636,154"
Albany,"27,048,252","27,577,236","27,798,104","27,767,672"
Allegany,"1,344,667","1,307,134","1,306,720","1,314,918"
Bronx,"38,864,519","38,921,080","39,819,920","42,695,638"
Broome,"8,727,400","8,703,292","8,865,371","8,981,867"
Cattaraugus,"2,738,023","2,649,524","2,679,529","2,659,316"
Cayuga,"2,532,267","2,466,121","2,472,707","2,455,069"
Chautauqua,"4,812,366","4,720,719","4,846,451","4,795,711"
Chemung,"3,672,232","3,598,261","3,573,676","3,625,650"
Chenango,"1,971,041","1,972,456","1,986,133","1,973,842"
Clinton,"3,519,059","3,498,274","3,565,723","3,554,003"
Columbia,"2,313,702","2,293,614","2,234,832","2,234,756"
Cortland,"1,823,915","1,754,693","1,781,987","1,780,484"
Delaware,"1,721,280","1,688,280","1,759,604","1,738,567"
Dutchess,"12,096,100","12,206,856","12,417,718","12,564,796"
Erie,"50,320,424","50,556,003","51,067,834","51,595,428"
Essex,"1,398,071","1,400,243","1,411,164","1,428,868"
Franklin,"1,642,841","1,665,124","1,724,479","1,696,153"
Fulton,"1,628,782","1,685,308","1,729,982","1,687,432"
Genesee,"2,223,566","2,117,205","2,189,801","2,176,156"
Greene,"1,991,231","2,067,792","2,093,170","2,057,304"
Hamilton,"246,761","241,928","246,607","250,516"
Herkimer,"1,717,691","1,696,935","1,746,998","1,760,557"
Jefferson,"6,064,487","5,870,512","5,929,646","5,910,020"
Kings,"81,205,561","82,653,065","85,445,141","91,559,456"
Lewis,"906,174","926,827","937,068","926,216"
Livingston,"1,891,610","1,851,189","1,984,716","2,021,448"
Madison,"2,076,126","2,031,060","2,099,267","2,093,954"
Monroe,"43,140,086","43,381,854","43,624,348","43,857,509"
Montgomery,"1,731,161","1,742,213","1,809,292","1,796,337"
Nassau,"80,269,906","80,681,308","81,313,669","81,196,003"
New York,"573,528,969","585,656,623","601,464,989","600,244,287"
Niagara,"8,388,828","8,646,433","8,682,100","8,730,408"
Oneida,"9,762,134","9,907,398","10,042,066","10,131,589"
Onondaga,"27,780,869","27,898,437","28,255,882","28,644,000"
Ontario,"5,507,781","5,332,887","5,448,300","5,486,118"
Orange,"14,672,185","14,820,032","15,073,314","15,425,245"
Orleans,"1,271,741","1,216,953","1,228,264","1,244,000"
Oswego,"6,086,390","5,912,547","6,066,338","5,992,557"
Otsego,"2,207,943","2,212,215","2,261,655","2,269,245"
Putnam,"2,985,701","3,024,277","3,038,085","3,056,190"
Queens,"85,740,807","86,540,887","88,148,259","93,310,007"
Rensselaer,"5,970,685","6,042,529","6,081,432","6,111,679"
Richmond,"13,135,417","13,191,421","13,466,926","14,514,449"
Rockland,"19,043,649","18,597,075","18,363,045","18,491,409"
St. Lawrence,"4,116,825","4,200,119","4,383,886","4,325,055"
Saratoga,"9,425,616","9,519,300","9,917,618","10,178,558"
Schenectady,"7,372,128","7,455,772","7,426,193","7,384,149"
Schoharie,"835,761","866,539","903,524","925,013"
Schuyler,"554,743","545,913","538,548","541,201"
Seneca,"1,268,235","1,223,935","1,250,509","1,247,337"
Steuben,"4,890,557","4,910,437","5,008,340","5,127,024"
Suffolk,"79,155,650","80,043,110","81,130,606","81,211,899"
Sullivan,"2,456,438","2,477,704","2,525,990","2,619,796"
Tioga,"1,771,057","1,799,913","1,867,065","1,860,690"
Tompkins,"5,326,929","5,325,458","5,355,968","5,412,942"
Ulster,"6,033,576","6,065,862","6,184,371","6,237,082"
Warren,"3,516,729","3,590,915","3,674,566","3,674,608"
Washington,"1,685,650","1,679,988","1,691,986","1,678,558"
Wayne,"3,371,422","3,486,874","3,473,297","3,369,099"
Westchester,"70,147,901","70,992,954","72,788,556","73,404,644"
Wyoming,"1,575,129","1,480,151","1,546,389","1,505,437"
Yates,"795,064","834,030","831,196","834,674"
,,,,
North Carolina,"469,478,788","475,338,993","485,498,603","497,331,293"
Alamance,"5,027,956","5,142,796","5,200,654","5,364,474"
Alexander,"823,327","812,487","832,551","842,421"
Alleghany,"449,382","452,424","449,034","435,819"
Anson,"727,526","704,947","717,191","742,405"
Ashe,"696,618","708,157","713,269","723,421"
Avery,"539,756","547,967","551,629","561,233"
Beaufort,"1,486,506","1,464,391","1,461,204","1,458,160"
Bertie,"620,038","581,268","590,907","575,857"
Bladen,"1,534,716","1,499,085","1,529,270","1,495,126"
Brunswick,"3,411,835","3,533,327","3,622,101","3,648,227"
Buncombe,"10,809,496","11,063,449","11,364,249","11,793,788"
Burke,"2,546,945","2,526,624","2,541,924","2,583,060"
Cabarrus,"5,842,702","6,157,715","6,466,497","6,399,369"
Caldwell,"2,087,420","2,149,216","2,215,203","2,347,493"
Camden,"160,501","153,013","149,751","150,096"
Carteret,"1,939,290","1,970,264","2,031,632","2,088,792"
Caswell,"410,859","416,791","422,189","424,740"
Catawba,"7,725,457","7,867,830","8,129,434","8,261,212"
Chatham,"1,329,533","1,327,417","1,374,782","1,384,426"
Cherokee,"677,129","668,725","674,489","698,213"
Chowan,"448,630","450,951","471,006","480,691"
Clay,"185,959","183,641","185,571","192,692"
Cleveland,"3,191,379","3,302,964","3,468,554","3,593,630"
Columbus,"1,338,727","1,330,520","1,325,820","1,321,227"
Craven,"4,406,139","4,348,858","4,278,374","4,360,609"
Cumberland,"15,932,102","15,814,473","15,999,225","16,269,352"
Currituck,"595,990","573,065","599,949","632,304"
Dare,"1,760,360","1,741,756","1,770,927","1,787,834"
Davidson,"4,312,622","4,531,913","4,708,272","4,683,171"
Davie,"1,050,328","1,092,842","1,165,652","1,167,374"
Duplin,"2,232,948","2,191,274","2,235,975","2,122,949"
Durham,"34,363,523","33,897,699","34,665,300","35,921,840"
Edgecombe,"1,464,921","1,467,042","1,478,580","1,494,281"
Forsyth,"21,321,563","21,293,669","21,513,599","21,641,338"
Franklin,"1,189,536","1,195,368","1,236,938","1,279,293"
Gaston,"6,270,238","6,331,095","6,530,380","6,804,692"
Gates,"146,894","144,911","146,569","148,159"
Graham,"229,708","211,268","218,290","234,842"
Granville,"2,035,253","2,073,674","2,120,106","2,098,627"
Greene,"467,207","491,428","513,928","494,686"
Guilford,"30,734,191","30,328,567","30,886,851","31,387,797"
Halifax,"1,403,555","1,376,816","1,363,691","1,396,171"
Harnett,"2,021,501","2,071,660","2,124,069","2,167,983"
Haywood,"1,496,082","1,520,300","1,516,459","1,569,361"
Henderson,"3,795,282","3,994,726","4,075,955","4,235,883"
Hertford,"772,232","783,188","788,885","780,391"
Hoke,"823,777","847,554","878,796","862,833"
Hyde,"261,045","242,303","246,573","256,337"
Iredell,"7,133,047","7,260,397","7,230,451","7,394,300"
Jackson,"1,200,620","1,245,747","1,283,418","1,287,707"
Johnston,"4,218,400","4,290,371","4,443,268","4,571,119"
Jones,"169,119","181,737","185,819","171,971"
Lee,"3,167,808","3,090,131","3,121,920","3,210,730"
Lenoir,"2,487,698","2,457,167","2,548,022","2,577,693"
Lincoln,"1,962,659","2,012,355","2,048,504","2,116,667"
McDowell,"1,283,270","1,261,653","1,298,305","1,306,127"
Macon,"972,082","964,272","978,753","1,009,238"
Madison,"359,391","358,964","366,218","370,832"
Martin,"627,283","620,081","618,511","614,404"
Mecklenburg,"92,297,858","92,994,049","95,855,607","97,637,010"
Mitchell,"427,726","427,702","435,652","461,212"
Montgomery,"844,812","849,711","851,901","870,571"
Moore,"2,967,268","3,030,381","3,087,360","3,190,937"
Nash,"7,117,694","7,692,590","7,608,901","7,510,036"
New Hanover,"11,268,387","11,688,995","11,864,700","12,296,654"
Northampton,"484,410","479,657","481,893","488,283"
Onslow,"7,823,390","8,207,955","8,005,278","8,155,742"
Orange,"7,032,675","7,223,097","7,341,967","7,675,148"
Pamlico,"266,811","266,239","268,789","274,286"
Pasquotank,"1,400,204","1,397,687","1,412,519","1,414,396"
Pender,"1,037,407","1,099,411","1,127,053","1,141,947"
Perquimans,"202,356","202,571","234,335","236,000"
Person,"1,473,982","1,429,239","1,300,679","1,302,748"
Pitt,"7,526,442","7,534,598","7,719,111","7,778,281"
Polk,"462,233","462,178","452,732","458,682"
Randolph,"3,890,738","3,857,985","3,915,646","3,960,189"
Richmond,"1,754,462","1,770,417","1,748,608","1,845,375"
Robeson,"3,055,855","2,996,269","3,065,727","3,083,812"
Rockingham,"2,959,621","2,966,286","2,923,215","2,957,387"
Rowan,"4,538,382","4,633,194","4,688,045","4,829,489"
Rutherford,"1,560,750","1,578,507","1,588,194","1,643,630"
Sampson,"2,103,971","2,121,400","2,137,020","2,053,485"
Scotland,"949,731","943,861","959,215","982,653"
Stanly,"1,616,731","1,669,552","1,715,003","1,749,811"
Stokes,"1,163,925","1,085,314","1,043,722","988,135"
Surry,"2,357,193","2,350,239","2,390,757","2,447,200"
Swain,"522,380","520,435","515,112","534,478"
Transylvania,"885,429","926,855","931,944","963,170"
Tyrrell,"112,498","115,497","111,921","105,323"
Union,"5,687,927","5,833,726","6,092,179","6,210,252"
Vance,"1,208,249","1,215,038","1,208,062","1,202,825"
Wake,"61,468,221","64,182,144","66,188,586","70,297,010"
Warren,"335,188","327,648","323,076","323,338"
Washington,"256,639","252,520","252,370","253,888"
Watauga,"1,826,776","1,839,582","1,887,055","1,924,260"
Wayne,"4,685,843","4,637,941","4,702,700","4,714,200"
Wilkes,"2,089,128","2,070,085","2,132,974","2,103,352"
Wilson,"3,790,647","3,775,521","3,830,882","3,890,550"
Yadkin,"983,467","1,024,254","1,078,335","1,053,658"
Yancey,"348,411","359,684","364,136","412,309"
,,,,
North Dakota,"54,901,573","51,036,328","51,014,744","52,872,991"
Adams,"138,995","132,063","211,640","163,724"
Barnes,"563,345","676,389","636,932","659,641"
Benson,"244,891","174,124","176,223","213,186"
Billings,"165,118","121,732","124,315","123,345"
Bottineau,"327,405","315,255","288,579","358,288"
Bowman,"319,169","253,833","287,857","246,299"
Burke,"227,834","167,052","157,692","137,304"
Burleigh,"5,365,185","5,199,793","5,162,417","5,212,246"
Cass,"10,994,343","10,901,197","10,886,640","11,198,520"
Cavalier,"312,546","390,680","343,051","448,729"
Dickey,"257,245","290,617","228,929","292,025"
Divide,"361,600","227,484","213,937","192,612"
Dunn,"1,137,588","849,245","943,825","973,681"
Eddy,"115,951","89,409","113,713","115,790"
Emmons,"162,230","214,180","175,605","172,102"
Foster,"274,473","345,558","302,783","272,478"
Golden Valley,"81,873","80,374","76,497","77,051"
Grand Forks,"3,645,135","3,608,213","3,691,868","3,740,414"
Grant,"107,374","124,551","146,863","82,249"
Griggs,"142,901","191,599","154,534","141,446"
Hettinger,"152,128","116,250","125,762","115,597"
Kidder,"155,752","111,843","124,336","135,635"
LaMoure,"236,963","307,707","186,174","280,936"
Logan,"163,124","166,350","191,340","192,265"
McHenry,"290,240","233,487","225,380","278,859"
McIntosh,"153,705","153,020","210,576","185,579"
McKenzie,"2,933,082","2,464,867","2,586,303","2,956,333"
McLean,"693,917","733,122","670,149","753,102"
Mercer,"1,064,167","1,158,086","1,058,324","957,979"
Morton,"1,459,401","1,378,960","1,466,400","1,477,280"
Mountrail,"1,945,472","1,524,876","1,482,099","1,518,221"
Nelson,"121,239","157,064","192,731","155,934"
Oliver,"264,424","253,172","261,681","256,140"
Pembina,"395,027","352,260","357,025","359,871"
Pierce,"235,912","214,859","220,620","262,660"
Ramsey,"592,098","556,916","550,038","516,137"
Ransom,"230,984","246,493","232,993","249,745"
Renville,"117,062","154,802","107,119","146,690"
Richland,"759,077","907,650","925,152","950,729"
Rolette,"366,967","353,423","373,961","374,598"
Sargent,"825,761","792,298","790,211","854,986"
Sheridan,"71,139","71,000","47,473","40,615"
Sioux,"178,396","163,302","153,906","129,712"
Slope,"100,784","75,565","49,973","57,324"
Stark,"3,070,264","2,377,398","2,412,100","2,523,736"
